ID,Usia,Jam_Kerja_per_Minggu,Pengalaman_Tahun,Pelatihan_K3,Shift,Jabatan,Lokasi,Kecelakaan
1,58,47,10,Ya,Pagi,Supervisor,Gudang,0
2,48,44,17,Tidak,Siang,Supervisor,Gudang,0
3,34,40,22,Ya,Pagi,Manager,Gudang,0
4,27,37,26,Tidak,Malam,Manager,Gudang,0
5,40,42,25,Tidak,Pagi,Supervisor,Gudang,0
6,58,49,17,Tidak,Siang,Manager,Gudang,0
7,38,46,13,Tidak,Siang,Operator,Gudang,0
8,42,38,20,Tidak,Siang,Operator,Quality_Control,1
9,65,45,25,Ya,Siang,Operator,Gudang,0
10,30,46,4,Tidak,Siang,Supervisor,Quality_Control,0
11,43,40,10,Tidak,Pagi,Operator,Produksi,1
12,55,45,3,Tidak,Pagi,Manager,Gudang,0
13,59,45,18,Ya,Pagi,Supervisor,Produksi,0
14,43,39,22,Tidak,Pagi,Manager,Produksi,0
15,22,46,34,Ya,Siang,Operator,Produksi,0
16,41,47,8,Tidak,Malam,Operator,Quality_Control,1
17,21,50,19,Tidak,Pagi,Operator,Produksi,0
18,43,50,6,Ya,Malam,Supervisor,Produksi,1
19,49,38,26,Tidak,Pagi,Manager,Produksi,0
20,57,40,34,Ya,Pagi,Supervisor,Gudang,0
21,21,47,6,Ya,Malam,Supervisor,Gudang,0
22,40,47,33,Tidak,Siang,Operator,Quality_Control,0
23,52,47,22,Ya,Pagi,Supervisor,Quality_Control,0
24,31,64,21,Tidak,Pagi,Supervisor,Gudang,1
25,41,80,6,Tidak,Pagi,Operator,Quality_Control,1
26,44,50,6,Ya,Malam,Supervisor,Gudang,0
27,46,49,4,Ya,Siang,Operator,Produksi,1
28,47,48,30,Ya,Malam,Operator,Produksi,1
29,35,43,11,Ya,Malam,Operator,Quality_Control,0
30,34,48,30,Tidak,Siang,Operator,Gudang,0
31,22,41,31,Tidak,Malam,Supervisor,Gudang,0
32,56,43,24,Ya,Siang,Operator,Quality_Control,0
33,26,42,9,Tidak,Pagi,Operator,Gudang,0
34,40,45,3,Tidak,Siang,Supervisor,Produksi,0
35,28,56,31,Tidak,Pagi,Supervisor,Quality_Control,1
36,58,35,24,Tidak,Malam,Manager,Quality_Control,0
37,37,48,31,Ya,Malam,Supervisor,Gudang,0
38,23,36,6,Ya,Pagi,Supervisor,Quality_Control,1
39,44,42,2,Tidak,Malam,Manager,Gudang,1
40,33,50,20,Ya,Siang,Supervisor,Gudang,0
41,28,45,28,Ya,Pagi,Supervisor,Gudang,1
42,45,39,11,Ya,Malam,Supervisor,Gudang,0
43,21,41,4,Tidak,Pagi,Supervisor,Gudang,0
44,39,48,15,Tidak,Siang,Manager,Quality_Control,0
45,47,41,6,Tidak,Siang,Supervisor,Produksi,0
46,26,46,30,Ya,Malam,Supervisor,Produksi,0
47,27,45,2,Tidak,Siang,Manager,Quality_Control,0
48,54,41,15,Tidak,Pagi,Operator,Quality_Control,0
49,33,55,11,Ya,Siang,Manager,Produksi,0
50,36,48,8,Tidak,Pagi,Operator,Produksi,0
51,55,34,26,Tidak,Pagi,Manager,Produksi,1
52,59,45,5,Ya,Siang,Manager,Produksi,0
53,23,41,6,Ya,Malam,Supervisor,Produksi,0
54,21,49,26,Ya,Siang,Operator,Gudang,0
55,25,41,4,Tidak,Pagi,Supervisor,Quality_Control,0
56,23,44,19,Tidak,Pagi,Operator,Gudang,0
57,48,47,20,Tidak,Siang,Manager,Produksi,1
58,37,49,33,Ya,Malam,Manager,Produksi,0
59,45,38,20,Ya,Malam,Operator,Produksi,0
60,53,43,12,Tidak,Pagi,Supervisor,Gudang,0
61,29,42,1,Tidak,Pagi,Supervisor,Gudang,0
62,55,41,26,Ya,Malam,Supervisor,Produksi,0
63,33,53,14,Ya,Siang,Supervisor,Gudang,0
64,50,47,11,Ya,Pagi,Manager,Gudang,0
65,34,38,13,Ya,Pagi,Manager,Produksi,0
66,27,49,3,Tidak,Malam,Manager,Gudang,0
67,33,55,33,Ya,Siang,Manager,Quality_Control,0
68,42,50,6,Tidak,Malam,Manager,Quality_Control,1
69,59,37,10,Tidak,Siang,Supervisor,Quality_Control,1
70,40,42,5,Tidak,Siang,Supervisor,Quality_Control,1
71,35,51,23,Ya,Siang,Supervisor,Produksi,0
72,37,41,10,Ya,Pagi,Supervisor,Produksi,0
73,43,47,2,Ya,Malam,Manager,Produksi,0
74,45,48,13,Ya,Malam,Manager,Quality_Control,0
75,44,40,2,Tidak,Siang,Manager,Quality_Control,0
76,48,44,20,Ya,Pagi,Operator,Gudang,0
77,34,28,1,Ya,Pagi,Supervisor,Gudang,0
78,20,39,9,Tidak,Malam,Supervisor,Quality_Control,1
79,44,43,17,Ya,Pagi,Manager,Quality_Control,0
80,26,38,9,Tidak,Pagi,Supervisor,Quality_Control,0
81,28,53,11,Tidak,Siang,Supervisor,Quality_Control,0
82,43,37,15,Tidak,Pagi,Manager,Gudang,1
83,20,42,24,Tidak,Siang,Operator,Quality_Control,0
84,27,45,30,Tidak,Malam,Operator,Gudang,0
85,43,52,31,Tidak,Pagi,Operator,Quality_Control,0
86,30,37,5,Tidak,Malam,Manager,Quality_Control,0
87,36,50,14,Tidak,Malam,Supervisor,Quality_Control,0
88,27,45,11,Ya,Pagi,Manager,Gudang,1
89,54,40,9,Ya,Pagi,Manager,Gudang,0
90,54,47,34,Ya,Malam,Supervisor,Produksi,0
91,52,45,12,Ya,Pagi,Operator,Quality_Control,0
92,24,41,1,Tidak,Siang,Operator,Produksi,0
93,58,45,22,Ya,Siang,Manager,Produksi,0
94,47,43,29,Tidak,Pagi,Operator,Gudang,0
95,26,45,8,Ya,Malam,Manager,Gudang,0
96,28,48,11,Ya,Pagi,Manager,Produksi,0
97,27,52,14,Ya,Pagi,Supervisor,Quality_Control,0
98,31,38,30,Tidak,Malam,Supervisor,Gudang,0
99,53,55,50,Ya,Malam,Supervisor,Quality_Control,0
100,52,35,5,Tidak,Siang,Manager,Quality_Control,1
101,42,44,19,Tidak,Malam,Supervisor,Produksi,0
102,43,47,14,Ya,Siang,Operator,Produksi,0
103,56,46,26,Ya,Malam,Operator,Produksi,1
104,54,41,4,Ya,Pagi,Manager,Produksi,0
105,59,43,25,Tidak,Siang,Manager,Gudang,1
106,41,42,25,Ya,Siang,Supervisor,Gudang,0
107,46,42,18,Tidak,Siang,Manager,Produksi,1
108,54,49,8,Tidak,Pagi,Manager,Gudang,0
109,20,46,14,Ya,Pagi,Operator,Produksi,0
110,54,41,32,Ya,Pagi,Operator,Quality_Control,0
111,56,49,33,Tidak,Pagi,Supervisor,Quality_Control,1
112,33,46,23,Tidak,Pagi,Manager,Quality_Control,1
113,22,49,15,Tidak,Siang,Manager,Produksi,0
114,20,48,33,Ya,Pagi,Operator,Quality_Control,0
115,24,40,25,Tidak,Siang,Manager,Gudang,1
116,45,42,17,Ya,Pagi,Operator,Quality_Control,0
117,33,48,33,Tidak,Malam,Supervisor,Quality_Control,1
118,58,48,2,Tidak,Siang,Operator,Quality_Control,1
119,46,44,14,Ya,Malam,Manager,Gudang,0
120,28,45,6,Tidak,Siang,Supervisor,Produksi,0
121,34,51,6,Ya,Malam,Operator,Gudang,0
122,34,42,3,Ya,Pagi,Operator,Produksi,0
123,45,47,7,Tidak,Pagi,Supervisor,Produksi,1
124,32,43,8,Ya,Pagi,Supervisor,Quality_Control,0
125,51,43,15,Ya,Siang,Operator,Produksi,1
126,58,50,29,Tidak,Malam,Manager,Gudang,0
127,51,49,33,Ya,Pagi,Operator,Gudang,1
128,23,49,30,Ya,Malam,Supervisor,Produksi,0
129,49,51,27,Ya,Malam,Operator,Quality_Control,0
130,56,45,29,Tidak,Pagi,Supervisor,Quality_Control,0
131,42,48,33,Ya,Pagi,Supervisor,Gudang,1
132,58,43,27,Tidak,Malam,Manager,Quality_Control,0
133,34,46,33,Tidak,Pagi,Supervisor,Produksi,1
134,48,44,4,Ya,Pagi,Supervisor,Produksi,0
135,55,45,22,Ya,Pagi,Manager,Gudang,0
136,32,47,2,Ya,Siang,Supervisor,Produksi,0
137,51,40,10,Tidak,Malam,Manager,Gudang,0
138,26,55,5,Ya,Malam,Manager,Produksi,0
139,41,39,10,Ya,Siang,Supervisor,Gudang,1
140,47,38,33,Ya,Malam,Supervisor,Quality_Control,1
141,70,50,13,Ya,Pagi,Operator,Produksi,1
142,25,48,31,Ya,Malam,Manager,Produksi,1
143,47,48,24,Tidak,Pagi,Operator,Gudang,0
144,47,48,15,Tidak,Siang,Supervisor,Gudang,0
145,39,44,29,Ya,Pagi,Operator,Produksi,0
146,49,40,8,Ya,Malam,Manager,Gudang,1
147,30,45,5,Ya,Malam,Operator,Produksi,0
148,47,41,29,Ya,Malam,Manager,Quality_Control,0
149,44,49,4,Tidak,Siang,Supervisor,Gudang,0
150,58,44,12,Ya,Siang,Supervisor,Produksi,0
151,52,40,2,Tidak,Malam,Manager,Quality_Control,1
152,20,43,27,Tidak,Pagi,Supervisor,Quality_Control,1
153,46,47,31,Ya,Siang,Supervisor,Produksi,0
154,32,42,26,Tidak,Malam,Supervisor,Gudang,1
155,22,40,27,Tidak,Malam,Supervisor,Produksi,0
156,58,46,5,Tidak,Siang,Manager,Quality_Control,0
157,25,46,20,Tidak,Siang,Operator,Produksi,0
158,27,42,11,Ya,Siang,Operator,Gudang,0
159,46,42,10,Ya,Pagi,Supervisor,Quality_Control,0
160,28,46,6,Tidak,Pagi,Operator,Produksi,1
161,56,37,8,Ya,Malam,Operator,Gudang,0
162,52,37,23,Ya,Siang,Supervisor,Quality_Control,1
163,43,41,26,Ya,Pagi,Supervisor,Gudang,0
164,34,43,12,Ya,Siang,Operator,Quality_Control,0
165,51,46,26,Ya,Malam,Manager,Produksi,0
166,51,52,13,Tidak,Pagi,Supervisor,Gudang,0
167,43,49,18,Ya,Pagi,Manager,Quality_Control,0
168,31,44,25,Ya,Pagi,Operator,Gudang,1
169,58,44,33,Ya,Malam,Supervisor,Gudang,0
170,21,39,12,Ya,Siang,Manager,Produksi,0
171,22,44,4,Tidak,Pagi,Supervisor,Gudang,0
172,56,43,5,Tidak,Malam,Operator,Quality_Control,0
173,36,46,8,Tidak,Siang,Manager,Quality_Control,0
174,21,40,28,Tidak,Malam,Operator,Quality_Control,0
175,21,47,31,Ya,Siang,Operator,Quality_Control,0
176,47,52,60,Tidak,Malam,Supervisor,Produksi,0
177,42,44,29,Ya,Siang,Manager,Gudang,0
178,56,47,14,Ya,Pagi,Operator,Produksi,0
179,51,48,22,Ya,Siang,Operator,Gudang,0
180,52,42,11,Ya,Malam,Manager,Gudang,0
181,20,46,23,Ya,Malam,Operator,Gudang,1
182,38,45,1,Tidak,Siang,Operator,Produksi,0
183,21,45,21,Tidak,Pagi,Manager,Gudang,0
184,45,41,26,Tidak,Pagi,Manager,Produksi,0
185,51,45,23,Tidak,Siang,Manager,Quality_Control,1
186,25,47,1,Ya,Siang,Manager,Quality_Control,0
187,51,52,55,Tidak,Malam,Supervisor,Gudang,0
188,23,49,21,Ya,Pagi,Manager,Produksi,1
189,30,55,9,Tidak,Siang,Supervisor,Quality_Control,0
190,36,41,9,Ya,Pagi,Supervisor,Produksi,0
191,57,49,10,Ya,Siang,Supervisor,Produksi,0
192,43,45,26,Tidak,Siang,Operator,Gudang,0
193,24,55,25,Ya,Pagi,Supervisor,Quality_Control,1
194,53,40,26,Ya,Siang,Supervisor,Gudang,1
195,25,40,11,Tidak,Siang,Operator,Gudang,0
196,41,42,2,Ya,Malam,Operator,Quality_Control,0
197,30,34,7,Tidak,Siang,Operator,Quality_Control,0
198,35,42,18,Tidak,Siang,Manager,Produksi,0
199,52,41,27,Tidak,Siang,Operator,Quality_Control,1
200,28,45,34,Ya,Malam,Operator,Produksi,0
201,25,46,27,Ya,Pagi,Supervisor,Produksi,0
202,35,54,17,Ya,Malam,Operator,Produksi,1
203,48,49,24,Tidak,Malam,Manager,Quality_Control,0
204,22,42,25,Ya,Pagi,Operator,Gudang,0
205,39,40,7,Tidak,Malam,Manager,Produksi,0
206,55,47,6,Tidak,Pagi,Operator,Gudang,1
207,38,38,24,Ya,Malam,Operator,Gudang,0
208,45,54,33,Tidak,Pagi,Operator,Quality_Control,0
209,22,50,29,Ya,Siang,Operator,Gudang,0
210,38,42,22,Ya,Malam,Manager,Gudang,0
211,39,36,26,Ya,Malam,Manager,Quality_Control,1
212,51,51,28,Ya,Malam,Supervisor,Produksi,1
213,26,44,21,Ya,Malam,Manager,Gudang,0
214,52,51,7,Tidak,Siang,Operator,Quality_Control,0
215,59,37,17,Tidak,Malam,Supervisor,Gudang,0
216,58,42,20,Tidak,Siang,Supervisor,Gudang,0
217,37,45,20,Ya,Siang,Supervisor,Produksi,0
218,59,45,22,Ya,Siang,Operator,Gudang,1
219,20,42,28,Ya,Siang,Manager,Quality_Control,0
220,30,48,7,Tidak,Pagi,Operator,Gudang,0
221,47,39,1,Ya,Pagi,Supervisor,Produksi,0
222,44,44,32,Tidak,Malam,Operator,Produksi,1
223,42,45,13,Tidak,Pagi,Operator,Quality_Control,1
224,50,47,30,Ya,Pagi,Manager,Produksi,1
225,49,48,23,Ya,Malam,Manager,Gudang,0
226,54,39,19,Tidak,Malam,Supervisor,Produksi,0
227,26,37,32,Ya,Malam,Operator,Quality_Control,1
228,35,51,30,Tidak,Pagi,Operator,Produksi,0
229,45,46,29,Ya,Pagi,Manager,Produksi,0
230,21,41,29,Ya,Malam,Operator,Produksi,1
231,20,100,30,Tidak,Siang,Operator,Quality_Control,1
232,31,45,16,Ya,Malam,Operator,Produksi,0
233,24,50,19,Tidak,Siang,Manager,Produksi,0
234,56,45,18,Ya,Siang,Supervisor,Gudang,0
235,51,55,1,Tidak,Malam,Supervisor,Quality_Control,0
236,28,53,14,Tidak,Malam,Operator,Produksi,0
237,54,43,2,Ya,Malam,Supervisor,Quality_Control,1
238,38,49,28,Tidak,Pagi,Manager,Produksi,1
239,35,48,30,Ya,Siang,Manager,Produksi,1
240,22,51,4,Ya,Pagi,Supervisor,Produksi,0
241,39,40,1,Ya,Pagi,Supervisor,Gudang,1
242,43,48,8,Tidak,Malam,Operator,Gudang,1
243,52,50,29,Tidak,Pagi,Supervisor,Gudang,0
244,43,36,3,Ya,Malam,Operator,Quality_Control,1
245,30,39,32,Ya,Siang,Operator,Quality_Control,1
246,27,34,10,Tidak,Malam,Manager,Gudang,0
247,55,43,10,Ya,Pagi,Manager,Quality_Control,0
248,57,48,19,Ya,Pagi,Manager,Produksi,0
249,59,52,34,Tidak,Malam,Manager,Produksi,0
250,39,45,33,Ya,Malam,Supervisor,Produksi,0
251,54,53,23,Tidak,Pagi,Manager,Gudang,1
252,44,38,28,Ya,Siang,Supervisor,Quality_Control,0
253,54,36,32,Tidak,Siang,Manager,Gudang,0
254,44,44,7,Ya,Malam,Supervisor,Quality_Control,0
255,48,46,29,Ya,Siang,Operator,Produksi,0
256,37,44,8,Tidak,Pagi,Supervisor,Gudang,0
257,37,34,1,Ya,Malam,Supervisor,Quality_Control,0
258,21,44,3,Tidak,Pagi,Manager,Quality_Control,0
259,54,38,24,Ya,Pagi,Supervisor,Produksi,0
260,35,48,23,Tidak,Siang,Operator,Gudang,0
261,55,46,8,Tidak,Malam,Operator,Gudang,0
262,52,40,3,Tidak,Malam,Manager,Gudang,1
263,23,10,33,Tidak,Siang,Operator,Produksi,0
264,52,39,28,Ya,Pagi,Supervisor,Gudang,1
265,15,44,8,Ya,Pagi,Operator,Produksi,0
266,40,49,34,Tidak,Pagi,Manager,Produksi,0
267,39,40,32,Tidak,Pagi,Supervisor,Produksi,1
268,27,47,24,Tidak,Malam,Manager,Quality_Control,0
269,26,42,14,Ya,Malam,Supervisor,Gudang,0
270,22,41,32,Ya,Siang,Operator,Gudang,0
271,36,44,16,Ya,Siang,Manager,Produksi,0
272,52,39,4,Ya,Malam,Manager,Produksi,0
273,31,42,21,Tidak,Malam,Supervisor,Gudang,0
274,41,39,14,Tidak,Pagi,Manager,Produksi,0
275,41,54,31,Tidak,Pagi,Supervisor,Gudang,0
276,49,45,18,Ya,Siang,Supervisor,Quality_Control,0
277,57,41,7,Ya,Malam,Supervisor,Produksi,1
278,57,46,10,Ya,Siang,Supervisor,Gudang,1
279,27,44,7,Tidak,Malam,Operator,Produksi,0
280,46,43,33,Tidak,Pagi,Supervisor,Gudang,1
281,46,48,23,Ya,Siang,Manager,Gudang,0
282,53,48,21,Tidak,Siang,Operator,Produksi,0
283,40,42,19,Ya,Malam,Manager,Quality_Control,0
284,49,42,19,Ya,Pagi,Operator,Gudang,1
285,52,43,29,Tidak,Siang,Supervisor,Gudang,0
286,47,33,18,Ya,Pagi,Operator,Gudang,0
287,52,37,2,Tidak,Siang,Operator,Quality_Control,0
288,24,51,1,Ya,Pagi,Manager,Quality_Control,1
289,38,53,5,Tidak,Malam,Manager,Produksi,1
290,23,43,20,Tidak,Siang,Supervisor,Quality_Control,1
291,54,47,11,Tidak,Siang,Operator,Produksi,0
292,36,46,2,Ya,Pagi,Operator,Produksi,0
293,47,60,3,Ya,Pagi,Operator,Quality_Control,0
294,49,50,23,Tidak,Siang,Supervisor,Produksi,0
295,48,44,12,Tidak,Malam,Supervisor,Quality_Control,0
296,25,40,20,Ya,Pagi,Supervisor,Produksi,0
297,54,36,5,Ya,Pagi,Supervisor,Quality_Control,1
298,56,46,30,Ya,Pagi,Supervisor,Quality_Control,1
299,43,41,9,Tidak,Siang,Manager,Produksi,1
300,48,37,34,Ya,Siang,Operator,Gudang,1
